Accession	Female_Parent	Male_Parent
TMS13F1113P0009	IITA-TMS-IBA070126	IITA-TMS-IBA000350
TMS14F1055P0005	TMS13F1060P0025	TMS13F1111P0012
TMS14F1084P0009	TMS13F1154P0008	TMS13F1212P0055
TMS13F1084P0006	IITA-TMS-IBA020285	IITA-TMS-IBA930007
TMS13F1003P0016	IITA-TMS-IBA960557	IITA-TMS-IBA940006
IITA-TMS-IBA061640	IITA-TMS-IBA011277	IITA-TMS-IBA011371
TMS14F1227P0002	TMS13F1107P0004	TMS13F1216P0006
TMS14F1153P0003	TMS13F1212P0002	TMS13F1154P0010
TMS13F1306P0004	IITA-TMS-IBA030060	IITA-TMS-IBA000355
TMS14F1133P0002	TMS13F1109P0009	TMS13F1008P0006
TMS13F1307P0012	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS14F1211P0001	TMS13F1102P0006	TMS13F1079P0002
TMS13F1212P0079	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS14F1171P0004	TMS13F1212P0002	TMS13F1333P0003
TMS13F1160P0005	IITA-TMS-IBA993073	IITA-TMS-IBA051740
TMS13F1362P0004	IITA-TMS-IBA974580	IITA-TMS-IBA930007
TMS14F1229P0002	TMS13F1107P0006	TMS13F1212P0032
TMS14F1303P0018	IITA-TMS-ZAR930151	IITA-TMS-IBA930134
TMS13F1087P0002	IITA-TMS-IBA020285	IITA-TMS-IBA980002
TMS13F1436P0005	IITA-TMS-IBA980002	IITA-TMS-IBA010046
TMS13F1307P0005	IITA-TMS-IBA030060	IITA-TMS-IBA010903
IITA-TMS-IBA011371	IITA-TMS-IBA940561	IITA-TMS-IBA940263
IITA-TMS-IBA050998	IITA-TMS-IBA974763	TMEB3
TMS14F1113P0002	TMS13F1153P0007	TMS13F1333P0003
TMS14F1295P0002	IITA-TMS-IBA930265	IITA-TMS-IBA030055A
TMS13F1053P0011	IITA-TMS-IBA972205	IITA-TMS-IBA930007
TMS13F1034P0019	IITA-TMS-IBA960860	IITA-TMS-IBA930007
TMS13F1212P0003	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS14F1306P0007	IITA-TMS-IBA030060	IITA-TMS-MM970043
TMS13F1106P0009	IITA-TMS-IBA070004	IITA-TMS-IBA000203
IITA-TMS-IBA051553	IITA-TMS-IBA961089A	\N
IITA-TMS-IBA30572	TMS070067	BRANCA DE SANTA CATARINA
TMS13F1216P0001	IITA-TMS-IBA011412	IITA-TMS-IBA020540
TMS13F1120P0001	IITA-TMS-IBA070025	IITA-TMS-IBA980002
TMS13F1212P0007	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS13F1381P0002	IITA-TMS-IBA000211	IITA-TMS-IBA010903
TMS13F1107P0004	IITA-TMS-IBA070004	IITA-TMS-IBA010046
TMS13F1109P0009	IITA-TMS-IBA070004	IITA-TMS-IBA051553
TMS13F1149P0008	IITA-TMS-MOK980004	IITA-TMS-IBA020129
TMS13F1122P0003	IITA-TMS-IBA070025	IITA-TMS-IBA000350
TMS13F1307P0003	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS14F1244P0006	TMS13F1333P0003	TMS13F1212P0002
TMS14F1301P0018	IITA-TMS-IBA020431	IITA-TMS-IBA030055A
TMS13F1111P0012	IITA-TMS-IBA070126	IITA-TMS-IBA950279
TMS14F1170P0012	TMS13F1212P0002	TMS13F1333P0027
TMS14F1085P0003	TMS13F1160P0009	TMS13F1212P0002
TMS13F1084P0018	IITA-TMS-IBA020285	IITA-TMS-IBA930007
TMS14F1233P0003	TMS13F1107P0008	TMS13F1214P0029
TMS14F1213P0003	TMS13F1107P0008	TMS13F1154P0010
TMS13F1154P0008	IITA-TMS-IBA993073	IITA-TMS-IBA970425
TMS14F1054P0002	TMS13F1024P0002	TMS13F1212P0032
TMS14F1205P0001	TMS13F1333P0003	TMS13F1307P0020
TMS13F1381P0005	IITA-TMS-IBA000211	IITA-TMS-IBA010903
IITA-TMS-IBA050128	TMEB693	TMEB1
TMS14F1276P0001	TMS13F1008P0020	TMS13F1106P0006
TMS14F1228P0013	TMS13F1107P0006	TMS13F1108P0007
TMS13F1145P0002	IITA-TMS-IBA961632	TMEB117
TMS14F1307P0007	IITA-TMS-IBA030060	IITA-TMS-MM970646
TMS13F1307P0023	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS14F1283P0008	IITA-TMS-IBA070258	IITA-TMS-IBA960963
TMS14F1256P0002	TMS13F1107P0008	TMS13F1059P0006
TMS14F1283P0015	IITA-TMS-IBA070258	IITA-TMS-IBA960963
UG120148	UG110008	UG110014
TMS13F1063P0009	IITA-TMS-IBA980505	IITA-TMS-IBA30572
TMS14F1291P0005	IITA-TMS-IBA961632	IITA-TMS-IBA030055A
TMS14F1222P0003	TMS13F1101P0007	TMS13F1212P0032
TMS14F1145P0002	TMS13F1212P0002	TMS13F1307P0008
TMS13F1307P0002	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS13F1381P0004	IITA-TMS-IBA000211	IITA-TMS-IBA010903
IITA-TMS-IBA940006	IS9102322	\N
TMS14F1191P0002	TMS13F1212P0055	TMS13F1176P0003
TMS13F1303P0003	IITA-TMS-IBA030060	IITA-TMS-MOK940583
TMS13F1307P0004	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS13F1212P0001	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS13F1083P0021	IITA-TMS-IBA020285	TMEB419
TMS14F1186P0004	TMS13F1214P0004	TMS13F1333P0003
TMS14F1171P0001	TMS13F1212P0002	TMS13F1333P0003
TMS13F1101P0007	IITA-TMS-IBA070004	IITA-TMS-IBA930007
TMS13F1303P0001	IITA-TMS-IBA030060	IITA-TMS-MOK940583
TMEB419	TMS0116810	NR010004
TMS14F1240P0004	TMS13F1333P0002	TMS13F1212P0002
TMS13F1086P0003	IITA-TMS-IBA020285	IITA-TMS-IBA970466
TMS14F1189P0001	TMS13F1216P0028	TMS13F1333P0003
TMS14F1226P0004	TMS13F1107P0010	TMS13F1108P0007
TMS13F1008P0006	IITA-TMS-MM964500	IITA-TMS-IBA940006
TMS14F1107P0002	TMS13F1124P0002	TMS13F1333P0003
TMS13F1107P0002	IITA-TMS-IBA070004	IITA-TMS-IBA010046
TMS13F1128P0016	TMEB419	TMEB419
TMS13F1214P0029	IITA-TMS-IBA011412	IITA-TMS-IBA020233
TMS13F1332P0004	IITA-TMS-IBA940237	IITA-TMS-IBA970290
TMS13F1060P0026	IITA-TMS-IBA980196	IITA-TMS-IBA974766
TMS13F1244P0001	IITA-TMS-BAD9200068	IITA-TMS-IBA972205
IITA-TMS-IBA070539	IITA-TMS-IBA011610	IITA-TMS-IBA011442
TMS13F1108P0006	IITA-TMS-IBA070004	IITA-TMS-IBA011412
TMS13F1343P0026	IITA-TMS-IBA970425	IITA-TMS-IBA930007
TMS13F1106P0007	IITA-TMS-IBA070004	IITA-TMS-IBA000350
TMS13F1288P0007	IITA-TMS-IBA020129	IITA-TMS-IBA010903
IITA-TMS-IBA011797	IITA-TMS-IBA950379	TMEB117
TMS14F1174P0001	TMS13F1212P0055	TMS13F1106P0006
TMS14F1122P0002	TMS13F1332P0042	TMS13F1333P0003
TMS14F1141P0001	TMS13F1332P0045	TMS13F1176P0003
IITA-TMS-IBA011206	IITA-TMS-IBA950971	NR8421
IITA-TMS-IBA051274	IITA-TMS-IBA974763	IITA-TMS-IBA030299
